Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
R P Binzel	30	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Massachusetts Institute of Technology; Cambridge; MA 02139; USA.
V J Bray	31	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	University of Arizona; Tucson; AZ 85721; USA.
A L Chaikin	32	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Independent science writer; Arlington; VT; USA.
J C Cook	33	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
D P Cruikshank	34	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Space Science Division; NASA Ames Research Center; Moffett Field; CA 94035; USA.
C M Dalle Ore	35	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Space Science Division; NASA Ames Research Center; Moffett Field; CA 94035; USA.
A M Earle	36	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	University of Arizona; Tucson; AZ 85721; USA.
G R Gladstone	37	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; San Antonio; TX 78238; USA.
C J A Howett	38	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
I R Linscott	39	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Stanford University; Stanford; CA 94305; USA.
F Nimmo	40	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	University of California; Santa Cruz; CA 95064; USA.
J Wm Parker	41	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
S Philippe	42	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	UniversitÃ© Grenoble Alpes; CNRS; IPAG; F-38000 Grenoble; France.
S Protopapa	43	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Department of Astronomy; University of Maryland; College Park; MD 20742; USA.
H J Reitsema	44	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
B Schmitt	45	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	UniversitÃ© Grenoble Alpes; CNRS; IPAG; F-38000 Grenoble; France.
T Stryk	46	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Roane State Community College; Oak Ridge; TN 37830; USA.
M E Summers	47	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	George Mason University; Fairfax; VA 22030; USA.
C C C Tsang	48	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
H H B Throop	49	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Planetary Science Institute; Tucson; AZ 85719; USA.
O L White	50	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Space Science Division; NASA Ames Research Center; Moffett Field; CA 94035; USA.
A M Zangari	Corresponding	Journal Article	26989256	Science	2016	The small satellites of Pluto as observed by New Horizons.	Southwest Research Institute; Boulder; CO 80302; USA.
Scott R Saleska	First	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	Ecology and Evolutionary Biology; University of Arizona; Tucson; Arizona 85721; USA.
Jin Wu	2	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	Ecology and Evolutionary Biology; University of Arizona; Tucson; Arizona 85721; USA.
Kaiyu Guan	3	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	Environmental and Earth System Science; Stanford University; Stanford; California 94305; USA.
Alessandro C Araujo	4	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	Embrapa Amazonia Oriental; Belem; Brazil.
Alfredo Huete	5	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	Plant Functional Biology and Climate Change Cluster; University of Technology Sydney; Sydney; New South Wales 2007; Australia.
Antonio D Nobre	6	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	National Institute for Space Research (INPE) and National Institute for Amazonian Research (INPA); SÃ£o JosÃ© dos Campos; Brazil.
Natalia Restrepo-Coupe	Corresponding	Comment	26983544	Nature	2016	Dry-season greening of Amazon forests.	Plant Functional Biology and Climate Change Cluster; University of Technology Sydney; Sydney; New South Wales 2007; Australia.
Lucas N Joppa	First	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Microsoft Research; Redmond; WA 98052; USA. lujoppa@microsoft.com.
James W Boyd	2	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Resources for the Future; Washington; DC 20036; USA.
Clifford S Duke	3	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Ecological Society of America; Washington; DC 20036; USA.
Stephanie Hampton	4	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Washington State University; Center for Environmental Research; Education and Outreach; Pullman; WA 99164; USA.
Stephen T Jackson	5	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	United States Geological Survey; Southwest Climate Science Center; Tucson; AZ 85721; USA.
Katharine L Jacobs	6	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	University of Arizona; Center for Climate Adaptation Science and Solutions; Tucson; AZ 85721; USA.
Karim-Aly S Kassam	7	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Cornell University; Department of Natural Resources; Ithaca; NY 14850; USA.
Harold A Mooney	8	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Stanford University; Department of Biological Sciences; Stanford; CA 94305; USA.
Laura A Ogden	9	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	Dartmouth University; Department of Anthropology; Hanover; NH 03755; USA.
Mary Ruckelshaus	10	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	The Natural Capital Project; Stanford University; Stanford; CA 94305; USA.
Jason F Shogren	Corresponding	Letter	26941310	Science	2016	Government: Plan for ecosystem services.	University of Wyoming; College of Business; Laramie; WY 82071; USA.
Sylvain Bouley	First	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	GEOPS-GÃ©osciences Paris Sud; UniversitÃ© Paris-Sud; CNRS; UniversitÃ© Paris-Saclay; Rue du BelvÃ©dÃ¨re; BÃ¢timent 504-509; 91405 Orsay; France.
David Baratoux	2	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	Geosciences Environnement Toulouse; UniversitÃ© de Toulouse III UMR 5563; 14 Avenue Edouard Belin; 31400 Toulouse; France.
Isamu Matsuyama	3	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	Lunar and Planetary Laboratory; University of Arizona; Tucson; Arizona 85721; USA.
Francois Forget	4	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	Laboratoire de MÃ©tÃ©orologie Dynamique; Institut Pierre Simon Laplace; CNRS; UniversitÃ© Pierre et Marie Curie; Paris; France.
Antoine SÃ©journÃ©	5	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	GEOPS-GÃ©osciences Paris Sud; UniversitÃ© Paris-Sud; CNRS; UniversitÃ© Paris-Saclay; Rue du BelvÃ©dÃ¨re; BÃ¢timent 504-509; 91405 Orsay; France.
Martin Turbet	6	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	Laboratoire de MÃ©tÃ©orologie Dynamique; Institut Pierre Simon Laplace; CNRS; UniversitÃ© Pierre et Marie Curie; Paris; France.
Francois Costard	Corresponding	Journal Article	26934230	Nature	2016	Late Tharsis formation and implications for early Mars.	GEOPS-GÃ©osciences Paris Sud; UniversitÃ© Paris-Sud; CNRS; UniversitÃ© Paris-Saclay; Rue du BelvÃ©dÃ¨re; BÃ¢timent 504-509; 91405 Orsay; France.
Jin Wu	First	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. jinwu@email.arizona.edu saleska@email.arizona.edu.
Loren P Albert	2	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA.
Aline P Lopes	3	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
Natalia Restrepo-Coupe	4	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. Plant Functional Biology and Climate Change Cluster; University of Technology Sydney; Sydney; NSW; Australia.
Matthew Hayek	5	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	John A. Paulson School of Engineering and Applied Sciences; Harvard University; Cambridge; MA 02138; USA.
Kenia T Wiedemann	6	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. John A. Paulson School of Engineering and Applied Sciences; Harvard University; Cambridge; MA 02138; USA.
Kaiyu Guan	7	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Natural Resources and Environmental Science; University of Illinois at Urbana Champaign; Urbana; IL 61081; USA. Department of Earth System Science; Stanford University; Stanford; CA 94025; USA.
Scott C Stark	8	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Forestry; Michigan State University; East Lansing; MI 48824; USA.
Bradley Christoffersen	9	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. Earth and Environmental Sciences Division; Los Alamos National Lab; Los Alamos; NM 87545; USA.
Neill Prohaska	10	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA.
Julia V Tavares	11	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
Suelen Marostica	12	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
Hideki Kobayashi	13	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Environmental Geochemical Cycle Research; Japan Agency for Marine-Earth Science and Technology; Yokohama; Japan.
Mauricio L Ferreira	14	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Centro de Energia Nuclear na Agricultura; University of Sao Paulo; Piracicaba; SP; Brazil. Smart and Intelligent Cities Programme; University Nove de Julho; SÃ£o Paulo; SP; Brazil.
Kleber Silva Campos	15	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Environmental Physics; University of Western Para (UFOPA); Santarem; Para; Brazil.
Rodrigo da Silva	16	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Environmental Physics; University of Western Para (UFOPA); Santarem; Para; Brazil.
Paulo M Brando	17	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Instituto de Pesquisa Ambiental da AmazÃ´nia (IPAM); Belem; Para; Brazil. Woods Hole Research Center; Falmouth; MA 02450; USA.
Dennis G Dye	18	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Western Geographic Science Center; U.S. Geological Survey; Flagstaff; AZ 86001; USA.
Travis E Huxman	19	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Ecology and Evolutionary Biology and Center for Environmental Biology; University of California; Irvine; CA 92629; USA.
Alfredo R Huete	20	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Plant Functional Biology and Climate Change Cluster; University of Technology Sydney; Sydney; NSW; Australia.
Bruce W Nelson	21	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Brazil's National Institute for Amazon Research (INPA); Manaus; Amazonas; Brazil.
Scott R Saleska	Corresponding	Journal Article	26917771	Science	2016	Leaf development and demography explain photosynthetic seasonality in Amazon evergreen forests.	Department of Ecology and Evolutionary Biology; University of Arizona; Tucson; AZ 85721; USA. jinwu@email.arizona.edu saleska@email.arizona.edu.
Mikael Granvik	First	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Department of Physics; PO Box 64; 00014 University of Helsinki; Finland.
Alessandro Morbidelli	2	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Observatoire de la Cote d'Azur; Boulevard de l'Observatoire; F 06304 Nice Cedex 4; France.
Robert Jedicke	3	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Institute for Astronomy; University of Hawaii; 2680 Woodlawn Drive; Honolulu; Hawaii 96822; USA.
Bryce Bolin	4	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Observatoire de la Cote d'Azur; Boulevard de l'Observatoire; F 06304 Nice Cedex 4; France.
William F Bottke	5	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Southwest Research Institute; 1050 Walnut Street; Suite 300; Boulder; Colorado 80302; USA.
Edward Beshore	6	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	University of Arizona; 933 North Cherry Avenue; Tucson; Arizona 85721-0065; USA.
David VokrouhlickÃ½	7	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Institute of Astronomy; Charles University; V HoleÅ¡ovikÃ¡ch 2; CZ 18000 Prague 8; Czech Republic.
Marco DelbÃ²	8	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Observatoire de la Cote d'Azur; Boulevard de l'Observatoire; F 06304 Nice Cedex 4; France.
Patrick Michel	Corresponding	Journal Article	26887492	Nature	2016	Super-catastrophic disruption of asteroids at small perihelion distances.	Observatoire de la Cote d'Azur; Boulevard de l'Observatoire; F 06304 Nice Cedex 4; France.
Michael D Johnson	First	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA. mjohnson@cfa.harvard.edu.
Vincent L Fish	2	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA.
Sheperd S Doeleman	3	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA. Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA.
Daniel P Marrone	4	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Steward Observatory; University of Arizona; 933 North Cherry Avenue; Tucson; AZ 85721-0065; USA.
Richard L Plambeck	5	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Department of Astronomy; Radio Astronomy Laboratory; 501 Campbell; University of California Berkeley; Berkeley; CA 94720-3411; USA.
John F C Wardle	6	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Department of Physics MS-057; Brandeis University; Waltham; MA 02454-0911.
Kazunori Akiyama	7	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA. National Astronomical Observatory of Japan; Osawa 2-21-1; Mitaka; Tokyo 181-8588; Japan. Department of Astronomy; Graduate School of Science; The University of Tokyo; 7-3-1 Hongo; Bunkyo-ku; Tokyo 113-0033; Japan.
Keiichi Asada	8	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Institute of Astronomy and Astrophysics; Academia Sinica; Post Office Box 23-141; Taipei 10617; Taiwan.
Christopher Beaudoin	9	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA.
Lindy Blackburn	10	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA.
Ray Blundell	11	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA.
Geoffrey C Bower	12	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Academia Sinica Institute for Astronomy and Astrophysics (ASIAA); 645 N. A'ohÅkÅ« Pl. Hilo; HI 96720; USA.
Christiaan Brinkerink	13	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Department of Astrophysics/Institute for Mathematics; Astrophysics and Particle Physics; Radboud University Nijmegen; Post Office Box 9010; 6500 GL Nijmegen; Netherlands.
Avery E Broderick	14	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Perimeter Institute for Theoretical Physics; 31 Caroline Street North; Waterloo; ON N2L 2Y5; Canada. Department of Physics and Astronomy; University of Waterloo; 200 University Avenue West; Waterloo; ON N2L 3G1; Canada.
Roger Cappallo	15	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA.
Andrew A Chael	16	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA.
Geoffrey B Crew	17	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA.
Jason Dexter	18	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Max Planck Institute for Extraterrestrial Physics; Giessenbachstrasse 1; 85748 Garching; Germany.
Matt Dexter	19	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Department of Astronomy; Radio Astronomy Laboratory; 501 Campbell; University of California Berkeley; Berkeley; CA 94720-3411; USA.
Robert Freund	20	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Steward Observatory; University of Arizona; 933 North Cherry Avenue; Tucson; AZ 85721-0065; USA.
Per Friberg	21	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	James Clerk Maxwell Telescope; East Asia Observatory; 660 N. A'ohÅkÅ« Place; University Park; Hilo; HI 96720; USA.
Roman Gold	22	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Department of Physics; Joint Space-Science Institute; University of Maryland at College Park; Physical Sciences Complex; College Park; MD 20742; USA.
Mark A Gurwell	23	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA.
Paul T P Ho	24	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Institute of Astronomy and Astrophysics; Academia Sinica; Post Office Box 23-141; Taipei 10617; Taiwan.
Mareki Honma	25	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	National Astronomical Observatory of Japan; Osawa 2-21-1; Mitaka; Tokyo 181-8588; Japan. Graduate University for Advanced Studies; Mitaka; 2-21-1 Osawa; Mitaka; Tokyo 181-8588.
Makoto Inoue	26	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Institute of Astronomy and Astrophysics; Academia Sinica; Post Office Box 23-141; Taipei 10617; Taiwan.
Michael Kosowsky	27	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA. Haystack Observatory; Route 40; Massachusetts Institute of Technology; Westford; MA 01886; USA. Department of Physics MS-057; Brandeis University; Waltham; MA 02454-0911.
Thomas P Krichbaum	28	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Max-Planck-Institut fÃ¼r Radioastronomie; Auf dem HÃ¼gel 69; D-53121 Bonn; Germany.
James Lamb	29	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Owens Valley Radio Observatory; California Institute of Technology; 100 Leighton Lane; Big Pine; CA 93513-0968; USA.
Abraham Loeb	30	Journal Article	26785487	Science	2015	Resolved magnetic-field structure and variability near the event horizon of Sagittarius A.	Harvard-Smithsonian Center for Astrophysics; 60 Garden Street; Cambridge; MA 02138; USA.
