Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Ullrich Dubiella	6	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Biology; Indiana University; Bloomington; Indiana 47405; USA.
Ruben O Lastra	7	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA.
Sumitha Nallu	8	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA.
Fabrice Roux	9	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	1] INRA; Laboratoire des Interactions Plantes-Microorganismes (LIPM); UMR441; F-31326 Castanet-Tolosan; France [2] CNRS; Laboratoire des Interactions Plantes-Microorganismes (LIPM); UMR2594; F-31326 Castanet-Tolosan; France [3] Laboratoire G̩n̩tique et Evolution des Populations V̩g̩tales; UMR CNRS 8198; Universit̩ des Sciences et Technologies de Lille - Lille 1; F-59655 Villeneuve d'Ascq Cedex; France.
Roger W Innes	10	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Biology; Indiana University; Bloomington; Indiana 47405; USA.
Luke G Barrett	11	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	1] Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA [2] Monsanto Vegetable Seeds; 37437 State Highway 16; Woodland; California 95695; USA (J.M.K.); State Key Laboratory of Plant Genetics and Germplasm Enhancement and College of Horticulture; Nanjing Agricultural University; Nanjing; China (J.D.); CSIRO Plant Industry; GPO Box 1600; Canberra; ACT 2601; Australia (L.G.B.).
Richard R Hudson	12	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA.
Joy Bergelson	Corresponding	Journal Article	25043057	Nature	2014	The long-term maintenance of a resistance polymorphism through diffuse interactions.	Department of Ecology and Evolution; University of Chicago; Chicago; Illinois 60637; USA.
Angela M Hancock	First	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Benjamin Brachi	2	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Nathalie Faure	3	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Matthew W Horton	4	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Lucien B Jarymowycz	5	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
F Gianluca Sperone	6	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Chris Toomajian	7	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Fabrice Roux	8	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Joy Bergelson	Corresponding	Journal Article	21980108	Science	2011	Adaptation to climate across the Arabidopsis thaliana genome.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA.
Ho Won Jung	First	Journal Article	19342588	Science	2009	Priming in systemic plant immunity.	Department of Molecular Genetics and Cell Biology; University of Chicago; 1103 East 57th Street EBC410; Chicago; IL 60637; USA.
Timothy J Tschaplinski	2	Journal Article	19342588	Science	2009	Priming in systemic plant immunity.	Department of Molecular Genetics and Cell Biology; University of Chicago; 1103 East 57th Street EBC410; Chicago; IL 60637; USA.
Lin Wang	3	Journal Article	19342588	Science	2009	Priming in systemic plant immunity.	Department of Molecular Genetics and Cell Biology; University of Chicago; 1103 East 57th Street EBC410; Chicago; IL 60637; USA.
Jane Glazebrook	4	Journal Article	19342588	Science	2009	Priming in systemic plant immunity.	Department of Molecular Genetics and Cell Biology; University of Chicago; 1103 East 57th Street EBC410; Chicago; IL 60637; USA.
Jean T Greenberg	Corresponding	Journal Article	19342588	Science	2009	Priming in systemic plant immunity.	Department of Molecular Genetics and Cell Biology; University of Chicago; 1103 East 57th Street EBC410; Chicago; IL 60637; USA.
Ravishankar Palanivelu	First	Journal Article	12859897	Cell	2003	Pollen tube growth and guidance is regulated by POP2, an Arabidopsis gene that controls GABA levels.	Department of Molecular Genetics and Cell Biology; The University of Chicago; Chicago; IL 60637; USA.
Laura Brass	2	Journal Article	12859897	Cell	2003	Pollen tube growth and guidance is regulated by POP2, an Arabidopsis gene that controls GABA levels.	Department of Molecular Genetics and Cell Biology; The University of Chicago; Chicago; IL 60637; USA.
Anna F Edlund	3	Journal Article	12859897	Cell	2003	Pollen tube growth and guidance is regulated by POP2, an Arabidopsis gene that controls GABA levels.	Department of Molecular Genetics and Cell Biology; The University of Chicago; Chicago; IL 60637; USA.
Daphne Preuss	Corresponding	Journal Article	12859897	Cell	2003	Pollen tube growth and guidance is regulated by POP2, an Arabidopsis gene that controls GABA levels.	Department of Molecular Genetics and Cell Biology; The University of Chicago; Chicago; IL 60637; USA.
D Tian	First	Journal Article	12721627	Nature	2003	Fitness costs of R-gene-mediated resistance in Arabidopsis thaliana.	Department of Ecology and Evolution; University of Chicago; 1101 E. 57th Street; Chicago; Illinois 60637; USA.
M B Traw	2	Journal Article	12721627	Nature	2003	Fitness costs of R-gene-mediated resistance in Arabidopsis thaliana.	Department of Ecology and Evolution; University of Chicago; 1101 E. 57th Street; Chicago; Illinois 60637; USA.
J Q Chen	3	Journal Article	12721627	Nature	2003	Fitness costs of R-gene-mediated resistance in Arabidopsis thaliana.	Department of Ecology and Evolution; University of Chicago; 1101 E. 57th Street; Chicago; Illinois 60637; USA.
M Kreitman	4	Journal Article	12721627	Nature	2003	Fitness costs of R-gene-mediated resistance in Arabidopsis thaliana.	Department of Ecology and Evolution; University of Chicago; 1101 E. 57th Street; Chicago; Illinois 60637; USA.
J Bergelson	Corresponding	Journal Article	12721627	Nature	2003	Fitness costs of R-gene-mediated resistance in Arabidopsis thaliana.	Department of Ecology and Evolution; University of Chicago; 1101 E. 57th Street; Chicago; Illinois 60637; USA.
Christine Queitsch	First	Journal Article	12050657	Nature	2002	Hsp90 as a capacitor of phenotypic variation.	Department of Molecular Genetics and Cell Biology; University of Chicago; Chicago; Illinois 60637; USA.
Todd A Sangster	2	Journal Article	12050657	Nature	2002	Hsp90 as a capacitor of phenotypic variation.	Department of Molecular Genetics and Cell Biology; University of Chicago; Chicago; Illinois 60637; USA.
Susan Lindquist	Corresponding	Journal Article	12050657	Nature	2002	Hsp90 as a capacitor of phenotypic variation.	Department of Molecular Genetics and Cell Biology; University of Chicago; Chicago; Illinois 60637; USA.
J A Mayfield	First	Journal Article	11431566	Science	2001	Gene families from the Arabidopsis thaliana pollen coat proteome.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; The University of Chicago; Chicago; IL 60637; USA.
A Fiebig	2	Journal Article	11431566	Science	2001	Gene families from the Arabidopsis thaliana pollen coat proteome.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; The University of Chicago; Chicago; IL 60637; USA.
S E Johnstone	3	Journal Article	11431566	Science	2001	Gene families from the Arabidopsis thaliana pollen coat proteome.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; The University of Chicago; Chicago; IL 60637; USA.
D Preuss	Corresponding	Journal Article	11431566	Science	2001	Gene families from the Arabidopsis thaliana pollen coat proteome.	Department of Molecular Genetics and Cell Biology; Howard Hughes Medical Institute; The University of Chicago; Chicago; IL 60637; USA.
J Bergelson	First	Review	11423651	Science	2001	Evolutionary dynamics of plant R-genes.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA. jbergels@midway.uchicago.edu
M Kreitman	Corresponding	Review	11423651	Science	2001	Evolutionary dynamics of plant R-genes.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA. jbergels@midway.uchicago.edu
E A Stahl	Corresponding	Review	11423651	Science	2001	Evolutionary dynamics of plant R-genes.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA. jbergels@midway.uchicago.edu
D Tian	Corresponding	Review	11423651	Science	2001	Evolutionary dynamics of plant R-genes.	Department of Ecology and Evolution; University of Chicago; 1101 East 57th Street; Chicago; IL 60637; USA. jbergels@midway.uchicago.edu
G P Copenhaver	First	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
K Nickel	2	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
T Kuromori	3	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
M I Benito	4	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
S Kaul	5	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
X Lin	6	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
M Bevan	7	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
G Murphy	8	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
B Harris	9	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
L D Parnell	10	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
W R McCombie	11	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
R A Martienssen	12	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
M Marra	13	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
D Preuss	Corresponding	Journal Article	10617454	Science	1999	Genetic definition and sequence analysis of Arabidopsis centromeres.	University of Chicago; Department of Molecular Genetics and Cell Biology; 1103 East 57 Street; Chicago; IL 60637; USA.
E A Stahl	First	Journal Article	10458161	Nature	1999	Dynamics of disease resistance polymorphism at the Rpm1 locus of Arabidopsis.	Committee on Genetics; University of Chicago; Illinois 60637; USA.
G Dwyer	2	Journal Article	10458161	Nature	1999	Dynamics of disease resistance polymorphism at the Rpm1 locus of Arabidopsis.	Committee on Genetics; University of Chicago; Illinois 60637; USA.
R Mauricio	3	Journal Article	10458161	Nature	1999	Dynamics of disease resistance polymorphism at the Rpm1 locus of Arabidopsis.	Committee on Genetics; University of Chicago; Illinois 60637; USA.
M Kreitman	4	Journal Article	10458161	Nature	1999	Dynamics of disease resistance polymorphism at the Rpm1 locus of Arabidopsis.	Committee on Genetics; University of Chicago; Illinois 60637; USA.
J Bergelson	Corresponding	Journal Article	10458161	Nature	1999	Dynamics of disease resistance polymorphism at the Rpm1 locus of Arabidopsis.	Committee on Genetics; University of Chicago; Illinois 60637; USA.
